dataset,dataset_family,t,gt_source_id,gt_target_id,pred_source_id,predicted_target_id,predicted_target_gt_id,matched_gt_target_pred_id,source_node_matched,target_node_matched,source_match_distance_um,target_match_distance_um,correct,outcome,edge_tp,edge_fp,edge_fn,selected_edge_score,selected_edge_distance_um,gt_displacement_um,selected_outgoing_edge_count,persisted_outgoing_edge_count,candidate_export_complete,local_density_pred,density_radius_um,candidate_count,best_candidate_target_id,best_candidate_score,second_candidate_score,candidate_margin,density_bin,margin_bin
44b6_0113de3b,44b6,0,11000000075,12000000075,219.0,443.0,12000000075.0,443.0,True,True,1.86167137607581,2.0714766773970688,True,correct,1,0,0,0.91018146276474,1.625,2.1877232028983924,1,1,False,6,15.0,,,,,,medium_low,unavailable
44b6_0113de3b,44b6,1,12000000075,13000000075,443.0,671.0,13000000075.0,671.0,True,True,2.0714766773970688,1.86167137607581,True,correct,1,0,0,0.9305213689804077,1.625,1.4647552056572457,1,1,False,5,15.0,,,,,,medium_low,unavailable
44b6_0113de3b,44b6,27,38000000003,39000000003,6194.0,6443.0,39000000003.0,6443.0,True,True,1.86167137607581,0.9084026158592896,True,correct,1,0,0,0.9271001815795898,2.8145825622994254,3.72334275215162,1,1,False,9,15.0,,,,,,medium_low,unavailable
44b6_0113de3b,44b6,28,39000000003,40000000003,6443.0,6695.0,40000000003.0,6695.0,True,True,0.9084026158592896,0.40625,True,correct,1,0,0,0.9652674794197083,3.6336104634371584,3.447145558284419,1,1,False,9,15.0,,,,,,medium_low,unavailable
44b6_0113de3b,44b6,29,40000000003,41000000003,6695.0,6951.0,41000000003.0,6951.0,True,True,0.40625,1.1490485194281397,True,correct,1,0,0,0.9782844185829163,3.6336104634371584,4.0827619710803615,1,1,False,9,15.0,,,,,,medium_low,unavailable
44b6_0113de3b,44b6,30,41000000003,42000000003,6951.0,7206.0,42000000003.0,7206.0,True,True,1.1490485194281397,0.5745242597140698,True,correct,1,0,0,0.927356481552124,4.596194077712559,3.8540258983302125,1,1,False,8,15.0,,,,,,medium_low,unavailable
44b6_0113de3b,44b6,31,42000000003,43000000003,7206.0,7463.0,43000000003.0,7463.0,True,True,0.5745242597140698,1.86167137607581,True,correct,1,0,0,0.9303805828094482,2.8145825622994254,4.614113030962723,1,1,False,8,15.0,,,,,,medium_low,unavailable
44b6_0113de3b,44b6,32,43000000003,44000000003,7463.0,7724.0,44000000003.0,7724.0,True,True,1.86167137607581,0.8125,True,correct,1,0,0,0.9402468800544739,3.9804208320226646,2.7252078475778685,1,1,False,8,15.0,,,,,,medium_low,unavailable
44b6_0113de3b,44b6,33,44000000003,45000000003,7724.0,7989.0,45000000003.0,7989.0,True,True,0.8125,0.5745242597140698,True,correct,1,0,0,0.9538926482200623,3.9804208320226646,3.8540258983302125,1,1,False,10,15.0,,,,,,medium_high,unavailable
44b6_0113de3b,44b6,34,45000000003,46000000003,7989.0,8255.0,46000000003.0,8255.0,True,True,0.5745242597140698,0.0,True,correct,1,0,0,0.9589414596557617,2.2980970388562794,2.0714766773970688,1,1,False,9,15.0,,,,,,medium_low,unavailable
