split,dataset,t,cohort,cause,diag_target_rank,diag_source_rank,local_density_pred,competitor_margin_diag,n_cands_on_target,gt_source_id,gt_target_id,gt_blended_prob,gt_blended_logit,gt_seed1_logit,gt_seed2_logit,gt_seed1_prob,gt_seed2_prob,gt_source_rank,gt_target_rank,gt_dist_um,gt_dz_um,gt_dy_um,gt_dx_um,comp_source_id,comp_target_id,comp_blended_prob,comp_blended_logit,comp_seed1_logit,comp_seed2_logit,comp_seed1_prob,comp_seed2_prob,comp_source_rank,comp_target_rank,comp_dist_um,comp_dz_um,comp_dy_um,comp_dx_um,d_blended_prob,d_blended_logit,d_seed1_logit,d_seed2_logit,d_seed1_prob,d_seed2_prob,d_dist_um,gt_seed_disagree,comp_seed_disagree,d_seed_disagree,seed1_prefers_gt,seed2_prefers_gt,seeds_agree_gt,seeds_agree_comp,seed_conflict,gt_closer,alpha_flip_any,alpha_flip_count,alpha_flip_min,alpha_flip_max,gt_wins_at_0_5
fixed8,44b6_e57ff5c6,37,ranking_fail,scorer_ranking,3,3,9.0,0.2324616312980651,16,8924,9266,0.2115536630153656,0.5351352691650391,0.006557732820510864,1.0637128353118896,0.08860666304826736,0.3753384053707123,3,3,13.498263777241872,-1.625,13.0,-3.25,8912,9266,0.4440152943134308,1.2765156030654907,2.018556833267212,0.5344743728637695,0.6626229882240295,0.22109434008598328,1,1,7.621925609713073,3.25,4.875,-4.875,-0.23246163129806519,-0.7413803339004517,-2.011999100446701,0.5292384624481201,-0.5740163251757622,0.154244065284729,5.876338167528799,0.2867317423224449,0.44152864813804626,-0.15479690581560135,0,1,0,0,1,0,1,5,0.0,0.2,0
fixed8,44b6_e57ff5c6,55,ranking_fail,scorer_ranking,2,2,13.0,0.0892750322818756,26,15462,15800,0.2195555567741394,-0.859057605266571,-0.7268764972686768,-0.9912387132644653,0.18147672712802887,0.21683700382709503,2,2,9.334914300624297,3.25,8.125,-3.25,15468,15800,0.308830589056015,-0.5178700685501099,-0.2944304347038269,-0.7413097620010376,0.2796596884727478,0.2784044146537781,2,1,3.6336104634371584,0.0,1.625,3.25,-0.08927503228187561,-0.3411875367164612,-0.43244606256484985,-0.24992895126342773,-0.09818296134471893,-0.061567410826683044,5.7013038371871385,0.03536027669906616,0.0012552738189697266,0.034105002880096436,0,0,0,1,0,0,0,0,,,0
fixed8,44b6_e57ff5c6,68,ranking_fail,scorer_ranking,2,1,13.0,0.0086415112018585,16,19092,19301,0.4779123365879059,1.3980846405029297,1.651430606842041,1.144738793373108,0.5285876989364624,0.42310306429862976,1,2,3.25,-3.25,0.0,0.0,19087,19301,0.4865538477897644,1.4160048961639404,1.4640134572982788,1.3679964542388916,0.43825092911720276,0.5289391875267029,1,1,0.0,0.0,0.0,0.0,-0.00864151120185852,-0.017920255661010742,0.1874171495437622,-0.2232576608657837,0.09033676981925964,-0.10583612322807312,3.25,0.10548463463783264,0.09068825840950012,0.01479637622833252,1,0,0,0,1,0,1,10,0.55,1.0,0
fixed8,44b6_e57ff5c6,89,ranking_fail,scorer_ranking,2,2,6.0,0.0130838751792907,16,22867,23000,0.48886555433273315,1.2991421222686768,1.3314980268478394,1.2667862176895142,0.4977511167526245,0.4788510799407959,2,2,2.2980970388562794,0.0,-1.625,-1.625,22870,23000,0.5019494295120239,1.3255538940429688,1.3235785961151123,1.3275290727615356,0.4938248097896576,0.5088394284248352,1,1,5.138701197773616,-4.875,-1.625,0.0,-0.013083875179290771,-0.026411771774291992,0.00791943073272705,-0.060742855072021484,0.003926306962966919,-0.029988348484039307,-2.840604158917337,0.018900036811828613,0.015014618635177612,0.003885418176651001,1,0,0,0,1,1,1,3,0.9,1.0,0
fixed8,44b6_e57ff5c6,91,ranking_fail,scorer_ranking,3,4,7.0,0.6215832009911537,17,23115,23246,0.07554664462804794,-1.1721292734146118,-1.1054372787475586,-1.238821268081665,0.08281112462282181,0.06573143601417542,4,3,11.718041645257966,0.0,-6.5,-9.75,23118,23246,0.6971298456192017,1.0500922203063965,0.995085597038269,1.1050987243652344,0.6766034960746765,0.6850537657737732,1,1,3.9804208320226646,-1.625,-3.25,1.625,-0.6215832009911537,-2.2222214937210083,-2.1005228757858276,-2.3439199924468994,-0.5937923714518547,-0.6193223297595978,7.737620813235301,0.017079688608646393,0.00845026969909668,0.008629418909549713,0,0,0,1,0,0,0,0,,,0
fixed8,6bba_05b6850b,54,ranking_fail,scorer_ranking,2,2,3.0,0.2328074276447296,17,3562,3646,0.3512669503688812,0.8299484252929688,0.7230863571166992,0.9368104934692383,0.2964852750301361,0.39830711483955383,2,2,5.3895152843275245,-1.625,1.625,4.875,3558,3646,0.5840743780136108,1.3384302854537964,1.434532642364502,1.2423279285430908,0.6039212346076965,0.5406330227851868,1,1,0.0,0.0,0.0,0.0,-0.23280742764472961,-0.5084818601608276,-0.7114462852478027,-0.30551743507385254,-0.3074359595775604,-0.14232590794563293,5.3895152843275245,0.10182183980941772,0.06328821182250977,0.03853362798690796,0,0,0,1,0,0,0,0,,,0
fixed8,6bba_05b6850b,72,ranking_fail,scorer_ranking,2,2,2.0,0.9363412484526634,16,4969,5033,0.028876163065433502,-2.078444480895996,-1.2208315134048462,-2.9360573291778564,0.054939139634370804,0.014923804439604282,2,2,9.334914300624297,-8.125,3.25,3.25,4963,5033,0.9652174115180969,1.4308924674987793,1.613869071006775,1.2479159832000732,0.9353554844856262,0.9793908596038818,1,1,0.0,0.0,0.0,0.0,-0.9363412484526634,-3.5093369483947754,-2.834700584411621,-4.18397331237793,-0.8804163448512554,-0.9644670551642776,9.334914300624297,0.04001533519476652,0.044035375118255615,-0.004020039923489094,0,0,0,1,0,0,0,0,,,0
fixed8,6bba_05b6850b,75,ranking_fail,scorer_ranking,2,2,2.0,0.3022891879081726,21,5174,5247,0.31929248571395874,0.3025279939174652,0.385643869638443,0.21941211819648743,0.2708977162837982,0.36141687631607056,2,2,7.267220926874317,6.5,0.0,-3.25,5180,5247,0.6215816736221313,0.9686875939369202,1.2143861055374146,0.7229890823364258,0.6204739809036255,0.5980108380317688,1,1,2.2980970388562794,-1.625,-1.625,0.0,-0.3022891879081726,-0.666159600019455,-0.8287422358989716,-0.5035769641399384,-0.34957626461982727,-0.23659396171569824,4.9691238880180375,0.09051916003227234,0.02246314287185669,0.06805601716041565,0,0,0,1,0,0,0,0,,,0
fixed8,6bba_05b6850b,78,ranking_fail,scorer_ranking,2,1,1.0,0.1415484249591827,16,5389,5455,0.42654117941856384,1.0897636413574219,1.227225422859192,0.9523017406463623,0.4453456699848175,0.40685033798217773,1,2,3.6336104634371584,-3.25,0.0,1.625,5388,5455,0.5680896043777466,1.3763338327407837,1.4399155378341675,1.3127521276474,0.5508931875228882,0.583413302898407,1,1,0.0,0.0,0.0,0.0,-0.14154842495918274,-0.2865701913833618,-0.21269011497497559,-0.3604503870010376,-0.10554751753807068,-0.17656296491622925,3.6336104634371584,0.03849533200263977,0.0325201153755188,0.005975216627120972,0,0,0,1,0,0,0,0,,,0
fixed8,6bba_05db0fb1,19,ranking_fail,scorer_ranking,2,2,13.0,0.4768000543117523,16,15988,16832,0.2178749144077301,0.37722963094711304,0.6197991371154785,0.13466015458106995,0.19421149790287018,0.23792512714862823,2,2,6.080193253507654,1.625,-3.25,4.875,16016,16832,0.6946749687194824,1.5367525815963745,1.868994951248169,1.20451021194458,0.6773197650909424,0.6935380697250366,1,1,3.9804208320226646,-1.625,-1.625,3.25,-0.4768000543117523,-1.1595229506492615,-1.2491958141326904,-1.0698500573635101,-0.4831082671880722,-0.4556129425764084,2.0997724214849898,0.04371362924575806,0.01621830463409424,0.02749532461166382,0,0,0,1,0,0,0,0,,,0
